Misure esperimento Caduta Libera
Data: 13 Dicembre 2019


       Punto    Tempo(sec)   Altezza(m)   Incertezza(m)
         0        0.0          502.10         0.4
         1        0.5          497.90         0.4
         2        1.0          490.33         0.5
         3        1.5          479.05         0.5
         4        2.0          461.22         0.5
         5        2.5          439.28         0.5
         6        3.0          411.13         0.5
         7        3.5          379.04         0.5
         8        4.0          341.98         0.5
         9        4.5          302.84         0.6
        10        5.0          252.72         0.6
        11        5.5          204.29         0.7
        12        6.0          147.57         0.8
        13        6.5           85.52         1.1
        14        7.0           19.62         2.2
